ID_MUNICIP,year,Population,dengue,zika,chikungunya,microcephaly,live_births
260005,2013,96768.7517142834,14,0,0,0,1532
260005,2014,96830.64386377181,23,0,0,0,1526
260005,2015,96906.5398499333,54,0,0,5,1628
260005,2016,96879.78768983902,23,0,29,2,1487
260005,2017,96827.97921428911,0,0,10,0,1519
260010,2013,36181.77686014067,0,0,0,0,638
260010,2014,36265.52287311773,5,0,0,0,653
260010,2015,36354.71169105139,891,0,39,2,666
260010,2016,36430.79771408258,205,0,23,3,580
260010,2017,36494.50412205259,24,0,8,0,522
260020,2013,18577.911580882785,0,0,0,0,297
260020,2014,18772.110867992335,32,0,0,0,305
260020,2015,18976.01604522598,75,0,0,2,269
260020,2016,19160.69378911014,2,0,0,0,284
260020,2017,19342.621883935433,0,0,0,0,260
260030,2013,23715.501777451416,3,0,0,0,362
260030,2014,23888.42000114283,8,0,0,0,356
260030,2015,24068.476232189736,86,0,0,3,357
260030,2016,24236.469522429772,218,1,6,1,323
260030,2017,24398.843852344064,1,0,0,0,338
260040,2013,35097.98464701169,6,0,0,0,491
260040,2014,35506.4603015718,47,0,0,0,551
260040,2015,35932.41231859059,3,0,0,0,546
260040,2016,36314.23967675239,3,0,4,0,491
260040,2017,36689.92610971549,1,0,0,0,486
260050,2013,42051.45223659958,1,0,0,0,794
260050,2014,42295.328871740334,5,0,0,1,765
260050,2015,42547.75325370974,926,0,47,3,774
260050,2016,42793.955634844286,59,0,152,1,672
260050,2017,43022.251906908015,5,0,1,0,719
260060,2013,14299.942300416718,0,0,0,0,180
260060,2014,14367.657330152993,0,0,0,0,174
260060,2015,14437.543485755512,24,0,0,0,179
260060,2016,14501.76207286179,1,0,0,0,191
260060,2017,14561.298143762022,0,0,0,0,185
260070,2013,38026.764753284384,1,0,0,0,538
260070,2014,37933.78991169829,0,0,0,0,611
260070,2015,37850.802078147186,297,0,0,3,570
260070,2016,37723.83958592462,100,0,47,3,457
260070,2017,37588.62090304888,0,0,0,0,525
260080,2013,22581.298318198395,8,0,0,0,269
260080,2014,22495.99129886509,32,0,0,0,239
260080,2015,22416.815476200576,202,0,0,0,254
260080,2016,22326.728720788687,189,0,563,1,235
260080,2017,22234.314171290087,92,0,0,1,278
260090,2013,22517.275935713304,0,0,0,0,340
260090,2014,22533.546470877365,1,0,0,0,337
260090,2015,22558.129171275497,28,0,0,0,339
260090,2016,22557.182805959943,5,0,16,0,312
260090,2017,22550.857332894317,0,0,0,0,304
260100,2013,10633.405372293448,0,0,0,0,163
260100,2014,10696.138945381943,0,0,0,0,157
260100,2015,10762.725729258778,0,0,0,0,164
260100,2016,10824.579682670934,2,0,0,0,144
260100,2017,10884.402182634229,44,0,0,0,129
260105,2013,19406.77127635932,1,0,0,0,356
260105,2014,19675.241748831257,0,0,0,0,314
260105,2015,19950.555753816734,4,0,0,0,342
260105,2016,20213.824422575795,1,0,0,2,289
260105,2017,20472.028318795412,0,0,0,0,303
260110,2013,80411.08157018642,10,0,0,0,1516
260110,2014,80798.26851836094,8,0,0,0,1592
260110,2015,81210.85085077275,49,0,0,4,1625
260110,2016,81529.74965759722,54,2,533,4,1497
260110,2017,81824.29362098261,1,0,3,0,1501
260120,2013,71890.50358342993,6,0,0,0,1153
260120,2014,72341.14392699671,7,0,0,0,1159
260120,2015,72796.48449986156,551,0,1,1,1110
260120,2016,73250.99776326356,21,0,48,1,1017
260120,2017,73675.51582369964,5,0,0,0,1158
260130,2013,13522.195038841086,2,0,0,0,180
260130,2014,13671.664237541656,0,0,0,0,167
260130,2015,13828.15510813241,15,0,0,1,186
260130,2016,13972.96075496363,0,0,2,0,148
260130,2017,14116.045807068058,1,0,0,0,174
260140,2013,42017.98806980344,0,0,0,0,867
260140,2014,42099.05944924358,0,0,0,0,852
260140,2015,42188.38772211103,61,0,0,0,779
260140,2016,42244.27827388668,0,0,18,0,721
260140,2017,42283.94353881548,0,0,0,0,702
260150,2013,11770.04337803475,0,0,0,0,140
260150,2014,11821.887459378171,0,0,0,0,152
260150,2015,11879.024928126215,0,0,0,0,169
260150,2016,11920.431412442977,0,0,0,0,148
260150,2017,11959.05489134016,0,0,0,0,124
260160,2013,20628.214842536236,0,0,0,0,330
260160,2014,20586.07248172022,4,0,0,0,355
260160,2015,20551.171169888737,118,0,0,0,314
260160,2016,20489.411358995454,44,0,1,0,338
260160,2017,20423.08474381143,0,0,0,0,310
260170,2013,74440.17060696553,12,0,0,0,1181
260170,2014,74531.70206608757,1,0,0,0,1192
260170,2015,74630.86801453982,2501,0,2,4,1063
260170,2016,74723.4245987722,1280,0,19,1,1045
260170,2017,74788.5765875123,136,0,3,0,1158
260180,2013,12405.386975720136,3,0,0,0,188
260180,2014,12444.014963450845,0,0,0,0,189
260180,2015,12488.070390683868,2,0,0,0,177
260180,2016,12512.40901037176,8,0,37,0,151
260180,2017,12535.167885707446,0,0,0,0,185
260190,2013,59677.856773978376,2,0,0,0,762
260190,2014,59574.484871516426,30,0,0,0,762
260190,2015,59476.60517812555,365,0,1,1,787
260190,2016,59364.86755168194,575,0,113,1,677
260190,2017,59235.18349653615,13,0,2,0,765
260200,2013,36774.784084218685,0,0,0,0,531
260200,2014,37015.95076144597,6,0,0,0,501
260200,2015,37269.10607933441,17,0,0,3,545
260200,2016,37496.04857493975,13,0,5,1,551
260200,2017,37710.416758903506,3,0,1,2,486
260210,2013,47233.544890707606,0,0,0,0,683
260210,2014,47425.750271594035,1,0,0,0,667
260210,2015,47627.01166226101,303,0,35,2,652
260210,2016,47811.60151706093,150,0,90,1,564
260210,2017,47977.73826540157,3,0,0,0,563
260220,2013,38440.22005741317,1,0,0,0,474
260220,2014,38371.69130435263,11,0,0,0,479
260220,2015,38315.96020187355,240,0,0,2,496
260220,2016,38218.76386271852,1,0,117,1,392
260220,2017,38117.195061692575,0,0,0,0,482
260230,2013,37964.710144238314,34,0,0,0,607
260230,2014,37793.2165794488,21,0,0,0,611
260230,2015,37630.56396149774,36,0,0,0,602
260230,2016,37452.09817586212,7,0,45,1,601
260230,2017,37263.56250006567,9,0,0,0,627
260240,2013,9001.776441653881,0,0,0,0,178
260240,2014,8991.085055195363,0,0,0,0,179
260240,2015,8987.0862278235,0,0,0,0,203
260240,2016,8966.511180952653,0,0,0,0,161
